index,symbol
1,20MICRONS
2,21STCENMGM
3,360ONE
4,3IINFOLTD
5,3MINDIA
6,3PLAND
7,5PAISA
8,63MOONS
9,A2ZINFRA
10,AAATECH
11,AADHARHFC
12,AAKASH
13,AAREYDRUGS
14,AARON
15,AARTECH
16,AARTIDRUGS
17,AARTIIND
18,AARTIPHARM
19,AARTISURF
20,AARVI
21,AAVAS
22,ABAN
23,ABB
24,ABBOTINDIA
25,ABCAPITAL
26,ABDL
27,ABFRL
28,ABINFRA
29,ABREL
30,ABSLAMC
31,ABSLLIQUID
32,ABSLNN50ET
33,ABSLPSE
34,ABSMARINE
35,ACC
36,ACCELYA
37,ACCENTMIC
38,ACCURACY
39,ACE
40,ACEINTEG
41,ACI
42,ACL
43,ACMESOLAR
44,ADANIENSOL
45,ADANIENT
46,ADANIGREEN
47,ADANIPORTS
48,ADANIPOWER
49,ADFFOODS
50,ADROITINFO
51,ADSL
52,ADVANIHOTR
53,ADVENZYMES
54,AEGISLOG
55,AEROFLEX
56,AERON
57,AETHER
58,AFCONS
59,AFFLE
60,AFFORDABLE
61,AFIL
62,AGARIND
63,AGI
64,AGIIL
65,AGRITECH
66,AGROPHOS
67,AGSTRA
68,AHLADA
69,AHLEAST
70,AHLUCONT
71,AIAENG
72,AIIL
73,AIMTRON
74,AIRAN
75,AIROLAM
76,AJANTPHARM
77,AJMERA
78,AJOONI
79,AKASH
80,AKG
81,AKI
82,AKSHAR
83,AKSHARCHEM
84,AKSHOPTFBR
85,AKUMS
86,AKZOINDIA
87,ALANKIT
88,ALBERTDAVD
89,ALEMBICLTD
90,ALICON
92,ALKALI
93,ALKEM
94,ALKYLAMINE
95,ALLCARGO
96,ALLDIGI
97,ALLETEC
98,ALMONDZ
99,ALOKINDS
100,ALPA
101,ALPEXSOLAR
102,ALPHA
103,ALPHAGEO
104,AMBER
105,AMBICAAGAR
106,AMBIKCO
107,AMBUJACEM
108,AMDIND
109,AMJLAND
110,AMNPLST
111,AMRUTANJAN
112,ANANDRATHI
113,ANANTRAJ
114,ANDHRAPAP
115,ANDHRSUGAR
116,ANGELONE
117,ANIKINDS
118,ANMOL
119,ANNAPURNA
120,ANTGRAPHIC
121,ANUHPHR
122,ANUP
123,ANURAS
124,APARINDS
125,APCL
126,APCOTEXIND
127,APEX
128,APLAPOLLO
129,APLLTD
130,APOLLO
131,APOLLOHOSP
132,APOLLOPIPE
133,APOLLOTYRE
134,APOLSINHOT
135,APS
136,APTECHT
137,APTUS
138,ARCHIDPLY
139,ARCHIES
140,ARE&M
141,ARIES
142,ARIHANTCAP
143,ARIHANTSUP
144,ARKADE
145,ARMANFIN
146,AROGRANITE
147,ARROWGREEN
148,ARTEMISMED
149,ARVIND
150,ARVINDFASN
151,ARVSMART
152,ASAHIINDIA
153,ASAHISONG
154,ASAL
155,ASALCBR
156,ASHAPURMIN
157,ASHIANA
158,ASHIMASYN
159,ASHOKA
160,ASHOKAMET
161,ASHOKLEY
162,ASIANENE
163,ASIANHOTNR
164,ASIANPAINT
165,ASIANTILES
166,ASKAUTOLTD
167,ASMS
168,ASTEC
169,ASTERDM
170,ASTRAL
171,ASTRAMICRO
172,ASTRAZEN
173,ASTRON
174,ATALREAL
175,ATAM
176,ATGL
177,ATL
178,ATLANTAA
179,ATLASCYCLE
180,ATMASTCO
181,ATUL
182,ATULAUTO
183,AUBANK
184,AURIONPRO
185,AUROPHARMA
186,AURUM
187,AUSOMENT
188,AUTOAXLES
189,AUTOIND
190,AVADHSUGAR
191,AVALON
192,AVANTEL
193,AVANTIFEED
194,AVG
195,AVIANSH
196,AVL
197,AVONMORE
198,AVPINFRA
199,AVROIND
200,AVTNPL
201,AWFIS
202,AWHCL
203,AWL
204,AXISBANK
205,AXISCADES
206,AXISGOLD
207,AXISILVER
208,AXISNIFTY
209,AXITA
210,AXSENSEX
211,AYMSYNTEX
212,AZAD
213,BAGFILMS
214,BAHETI
215,BAIDFIN
216,BAJAJ-AUTO
217,BAJAJCON
218,BAJAJELEC
219,BAJAJFINSV
220,BAJAJHCARE
221,BAJAJHFL
222,BAJAJHIND
223,BAJAJHLDNG
224,BAJEL
225,BAJFINANCE
226,BALAJEE
227,BALAJITELE
228,BALAMINES
229,BALAXI
230,BALKRISHNA
231,BALKRISIND
232,BALMLAWRIE
233,BALPHARMA
234,BALRAMCHIN
235,BALUFORGE
236,BANARBEADS
237,BANARISUG
238,BANCOINDIA
239,BANDHANBNK
240,BANG
241,BANKA
242,BANKBARODA
243,BANKINDIA
244,BANKNIFTY1
245,BANKPSU
246,BANSALWIRE
247,BANSWRAS
249,BASF
250,BASILIC
251,BASML
252,BATAINDIA
253,BAYERCROP
254,BBETF0432
255,BBL
256,BBNPPGOLD
257,BBOX
258,BBTC
259,BBTCL
260,BCLIND
261,BCONCEPTS
262,BDL
263,BEARDSELL
264,BECTORFOOD
265,BEDMUTHA
266,BEL
267,BEML
268,BEPL
269,BERGEPAINT
270,BESTAGRO
271,BETA
272,BEWLTD
273,BFINVEST
274,BFSI
275,BFUTILITIE
276,BGRENERGY
277,BHAGCHEM
278,BHAGERIA
279,BHAGYANGR
280,BHANDARI
281,BHARATFORG
282,BHARATGEAR
283,BHARATRAS
284,BHARATWIRE
285,BHARTIARTL
286,BHARTIHEXA
287,BHEL
288,BIGBLOC
289,BIKAJI
290,BIL
291,BIOCON
292,BIOFILCHEM
293,BIRLACABLE
294,BIRLACORPN
295,BIRLAMONEY
296,BLACKBUCK
297,BLAL
298,BLBLIMITED
299,BLISSGVS
300,BLKASHYAP
301,BLS
302,BLSE
303,BLUEDART
304,BLUEJET
305,BLUESTARCO
306,BODALCHEM
307,BOMDYEING
308,BOROLTD
309,BORORENEW
310,BOROSCI
311,BOSCHLTD
312,BPCL
313,BPL
314,BRIGADE
315,BRITANNIA
316,BRNL
317,BROOKS
318,BSE
319,BSHSL
320,BSL
321,BSLNIFTY
322,BSLSENETFG
323,BSOFT
324,BTML
325,BUTTERFLY
